LibID	QualityFilter	Replicate1_NumReads	Replicate2_NumReads	Replicate1_ExpressionMean	Replicate2_ExpressionMean	Replicate1_ExpressionNoise	Replicate2_ExpressionNoise
3287.000000	1.000000	15505.000000	16204.000000	4.149900	4.187500	0.083868	0.079411
3288.000000	1.000000	2593.000000	2979.000000	0.296900	0.333800	0.255328	0.231169
3289.000000	1.000000	15952.000000	13284.000000	6.181000	6.746500	0.114176	0.154213
3290.000000	1.000000	2557.000000	5494.000000	0.362500	0.375700	0.299209	0.357006
3291.000000	1.000000	13910.000000	26816.000000	5.600300	5.358700	0.122080	0.117375
3292.000000	0.000000	2160.000000	2077.000000	0.425800	0.473300	0.278362	0.484416
3293.000000	1.000000	12047.000000	16353.000000	5.468900	5.628800	0.105495	0.075735
3294.000000	1.000000	3291.000000	5359.000000	0.435400	0.421600	0.281006	0.255732
3295.000000	1.000000	15599.000000	18189.000000	6.041700	6.651800	0.096348	0.193160
3296.000000	1.000000	1225.000000	2250.000000	0.583500	0.534000	0.197580	0.229441
3297.000000	1.000000	20323.000000	24150.000000	6.412900	6.571900	0.094188	0.086671
3298.000000	1.000000	3575.000000	3474.000000	0.572100	0.525300	0.228962	0.232035
3299.000000	1.000000	7147.000000	10194.000000	6.514500	6.045000	0.098659	0.088744
3300.000000	1.000000	1057.000000	1133.000000	7.316300	7.761000	0.026374	0.034114
3301.000000	1.000000	4946.000000	3143.000000	11.552200	12.518200	0.032870	0.039880
3302.000000	0.000000	698.000000	414.000000	5.670100	4.422800	0.050221	0.002401
3303.000000	1.000000	1665.000000	2537.000000	9.480100	9.597800	0.029929	0.030941
3304.000000	0.000000	924.000000	741.000000	7.101900	6.125900	0.034969	0.032256
3305.000000	0.000000	826.000000	1579.000000	8.711600	9.699800	0.032364	0.028934
3306.000000	0.000000	839.000000	756.000000	6.839700	7.631800	0.040562	0.034410
3307.000000	1.000000	4985.000000	3693.000000	11.039300	10.917000	0.036826	0.056169
